boston bruins,0
los angeles kings,0
vancouver canucks,0
colorado avalanche,0
new york islanders,0
ottawa senators,0
tampa bay lightning,0
detroit red wings,0
pittsburgh penguins,0
buffalo sabres,0
dallas stars,0
carolina hurricanes,0
columbus blue jackets,0
edmonton oilers,0
new jersey devils,0
florida panthers,0
montreal canadiens,0
new york rangers,0
philadelphia flyers,0
toronto maple leafs,0
washington capitals,0
arizona coyotes,0
anaheim ducks,0
chicago blackhawks,0
calgary flames,0
st. louis blues,0
minnesota wild,0
san jose sharks,0
nashville predators,0
seattle kraken,0
winnipeg jets,0
vegas golden knights,0
